Time (CET)	Latitude	Longitude	Course	kts	mph	meters	Rate	Reporting Facility
Sat 09:04:51	31.8518	-121.0882	↙ 221°	424	488	9,746	 Level	 FlightAware ADS-B (KPOC)
Sat 09:05:10	31.8234	-121.1175	↙ 223°	423	487	9,754	9 Climbing	 FlightAware ADS-B (KSZP)
Sat 09:05:40	31.7806	-121.1619	↙ 222°	422	486	9,754	 Level	 FlightAware ADS-B (KSZP)
Sat 09:06:10	31.7356	-121.2083	↙ 222°	422	486	9,754	 Level	 FlightAware ADS-B (KSZP)
Sat 09:06:30	31.7055	-121.2395	↙ 223°	423	487	9,754	 Level	 FlightAware ADS-B (KOXR)
Sat 09:07:00	31.6633	-121.2832	↙ 223°	426	490	9,754	-7 Descending	 FlightAware ADS-B (KCRQ)
Sat 09:07:32	31.6149	-121.3331	↙ 222°	427	491	9,746	 Level	 FlightAware ADS-B (KSAN)
Sat 09:07:56	31.5792	-121.3715	↙ 229°	422	486	9,754	 Level	 FlightAware ADS-B (KLPC)
Sat 09:08:35	31.5340	-121.4396	↙ 229°	422	486	9,746	 Level	 FlightAware ADS-B (KSAN)
Sat 09:09:07	31.4868	-121.4933	↙ 223°	426	490	9,754	6 Climbing	 FlightAware ADS-B (KSMO)
Sat 09:09:52	31.4224	-121.5621	↙ 222°	426	490	9,754	-7 Descending	 FlightAware ADS-B (KSAN)
Sat 09:10:12	31.3933	-121.5932	↙ 223°	426	490	9,746	 Level	 FlightAware ADS-B (KSAN)
Sat 09:10:45	31.3451	-121.6443	↙ 223°	425	489	9,754	 Level	 FlightAware ADS-B (KSBA)
Sat 09:11:17	31.2986	-121.6934	↙ 222°	426	490	9,746	 Level	 FlightAware ADS-B (KSAN)
Sat 09:11:48	31.2536	-121.7410	↙ 222°	428	493	9,754	8 Climbing	 FlightAware ADS-B (KSAN)
Sat 09:12:18	31.2089	-121.7883	↙ 223°	428	493	9,754	-6 Descending	 FlightAware ADS-B (KSAN)
Sat 09:12:59	31.1576	-121.8423	↙ 223°	429	494	9,746	 Level	 FlightAware ADS-B (KSBA)
Sat 09:13:40	31.0882	-121.9153	↙ 223°	429	494	9,754	11 Climbing	 FlightAware ADS-B (KSZP)
Sat 09:14:10	31.0447	-121.9611	↙ 223°	428	493		 Level	 FlightAware ADS-B (KSZP)
Sat 09:14:41	30.9999	-122.0080	↙ 223°	427	491		 Level	 FlightAware ADS-B (KSZP)
Sat 09:15:14	30.9489	-122.0615	↙ 223°	426	490	9,746	 Level	 FlightAware ADS-B (KSBA)
Sat 09:16:06	30.8789	-122.1347	↙ 223°	426	490	9,754	 Level	 FlightAware ADS-B (KSBA)
Sat 09:16:38	30.8260	-122.1899	↙ 223°	424	488	9,746	-7 Descending	 FlightAware ADS-B (KSBA)
Sat 09:17:09	30.7830	-122.2348	↙ 223°	424	488	9,746	 Level	 FlightAware ADS-B (KSBA)
Sat 09:17:42	30.7323	-122.2875	↙ 223°	425	489	9,746	 Level	 FlightAware ADS-B (KSZP)
Sat 09:18:40	30.6562	-122.3666	↙ 223°	425	489	9,746	 Level	 FlightAware ADS-B (KSZP)
Sat 09:19:31	30.5740	-122.4518	↙ 223°	426	490	9,746	 Level	 FlightAware ADS-B (KSZP)
Sat 09:20:06	30.5333	-122.4940	↙ 223°	425	489	9,746	2 Climbing	 FlightAware ADS-B (KSBA)
Sat 09:23:06	30.2500	-122.7500	↙ 222°	425	489	9,754	2 Climbing	 Oakland Oceanic
Sat 09:24:12	30.1500	-122.8500	↙ 222°	425	489	9,754	 Level	 Oakland Oceanic
Sat 09:33:50	29.3000	-123.7167	↙ 221°	419	482	9,754	 Level	 Oakland Oceanic
Sat 09:43:40	28.4500	-124.5667	↙ 220°	429	494	9,754	 Level	 Oakland Oceanic
Sat 09:43:55	28.4500	-124.5667	↙ 220°	431	496	9,754	65 Climbing	 Oakland Oceanic
Sat 09:48:23	28.0000	-125.0000	↙ 223°	438	504	10,058	33 Climbing	 Oakland Oceanic
Sat 09:53:09	27.5833	-125.4333	↙ 223°	442	509	10,058	 Level	 Oakland Oceanic
Sat 10:02:38	26.7167	-126.3333	↙ 223°	445	512	10,058	 Level	 Oakland Oceanic
Sat 10:12:14	25.8333	-127.2333	↙ 222°	450	518	10,058	 Level	 Oakland Oceanic
Sat 10:13:56	25.6777	-127.3896	↙ 222°				 Level	 FlightAware Approximate
Sat 10:21:16	25.0047	-128.0607	↙ 222°				 Level	 FlightAware Approximate
Sat 10:21:51	24.9667	-128.1000	↙ 222°	443	510	10,058	 Level	 Oakland Oceanic
Sat 10:31:27	24.0833	-128.9667	↙ 221°	446	513	10,058	 Level	 Oakland Oceanic
Sat 10:41:02	23.1833	-129.8167	↙ 223°	441	507	10,058	 Level	 Oakland Oceanic
Sat 10:43:09	23.0000	-130.0000	↙ 228°	459	528	10,058	 Level	 Oakland Oceanic
Sat 10:50:38	22.3667	-130.7500	↙ 228°	461	531	10,058	18 Climbing	 Oakland Oceanic
Sat 11:00:14	21.5833	-131.7000	↙ 228°	458	527	10,363	16 Climbing	 Oakland Oceanic
Sat 11:09:50	20.7833	-132.6333	↙ 227°	460	529	10,363	 Level	 Oakland Oceanic
Sat 11:19:35	19.9667	-133.5667	↙ 227°	463	533	10,363	 Level	 Oakland Oceanic
Sat 11:29:03	19.1333	-134.5000	↙ 227°	465	535	10,363	 Level	 Oakland Oceanic
Sat 11:30:04	19.0452	-134.5948	↙ 227°				 Level	 FlightAware Approximate
Sat 11:37:27	18.4165	-135.2934	↙ 227°				 Level	 FlightAware Approximate
Sat 11:38:38	18.3000	-135.4333	↙ 226°	467	537	10,363	 Level	 Oakland Oceanic
Sat 11:48:15	17.4333	-136.3667	↙ 226°	469	540	10,363	 Level	 Oakland Oceanic
Sat 11:57:50	16.5667	-137.3000	↙ 226°	471	542	10,363	 Level	 Oakland Oceanic
Sat 12:07:26	15.7000	-138.2333	↙ 225°	472	543	10,363	 Level	 Oakland Oceanic
Sat 12:17:02	14.8167	-139.1667	↙ 225°	475	547	10,363	 Level	 Oakland Oceanic
Sat 12:25:48	14.0000	-140.0000	↙ 229°	482	555	10,363	 Level	 Oakland Oceanic
Sat 12:26:38	13.9167	-140.0833	↙ 229°	483	556	10,363	 Level	 Oakland Oceanic
Sat 12:36:14	13.0833	-141.0667	↙ 228°	483	556	10,363	 Level	 Oakland Oceanic
Sat 12:45:50	12.2333	-142.0500	↙ 228°	484	557	10,363	 Level	 Oakland Oceanic
Sat 12:55:26	11.3667	-143.0167	↙ 228°	485	558	10,363	21 Climbing	 Oakland Oceanic
Sat 13:00:31	10.9167	-143.5333	↙ 228°	483	556	10,668	32 Climbing	 Oakland Oceanic
Sat 13:05:02	10.5000	-143.9833	↙ 228°	485	558	10,668	 Level	 Oakland Oceanic
Sat 13:14:38	9.6333	-144.9500	↙ 228°	486	559	10,668	 Level	 Oakland Oceanic
Sat 13:18:11	9.3167	-145.3167	↙ 228°	484	557	10,668	 Level	 Oakland Oceanic
Sat 13:24:14	8.7667	-145.9167	↙ 227°	487	560	10,668	 Level	 Oakland Oceanic
Sat 13:33:51	7.8833	-146.8667	↙ 227°	485	558	10,668	 Level	 Oakland Oceanic
Sat 13:43:29	7.0167	-147.8333	↙ 227°	491	565	10,668	 Level	 Oakland Oceanic
Sat 13:53:02	6.1167	-148.8000	↙ 227°	494	568	10,668	2 Climbing	 Oakland Oceanic
Sat 14:02:38	5.2167	-149.7667	↙ 227°	480	552	10,698	25 Climbing	 Oakland Oceanic
Sat 14:05:03	5.0000	-150.0000	↙ 236°	487	560	10,973	29 Climbing	 Oakland Oceanic
Sat 14:12:15	4.4500	-150.8167	↙ 236°	487	560	10,973	 Level	 Oakland Oceanic
Sat 14:21:50	3.7167	-151.9000	↙ 236°	486	559	10,973	 Level	 Oakland Oceanic
Sat 14:31:26	2.9667	-152.9833	↙ 236°	496	571	10,973	 Level	 Oakland Oceanic
Sat 14:33:35	2.8171	-153.2029	↙ 236°				 Level	 FlightAware Approximate
Sat 14:41:00	2.3024	-153.9570	↙ 236°				 Level	 FlightAware Approximate
Sat 14:41:02	2.2167	-154.0667	↙ 236°	495	570	10,973	 Level	 Oakland Oceanic
Sat 14:50:39	1.4667	-155.1667	↙ 236°	488	562	10,973	 Level	 Oakland Oceanic
Sat 14:56:05	1.0667	-155.7667	↙ 223°	491	565	10,973	 Level	 Oakland Oceanic
Sat 15:00:14	0.6333	-156.1667	↙ 224°	487	560	10,973	 Level	 Oakland Oceanic
Sat 15:09:50	-0.3167	-157.0667	↙ 224°	491	565	10,973	 Level	 Oakland Oceanic
Sat 15:19:26	-1.2833	-157.9833	↙ 224°	492	566	10,973	 Level	 Oakland Oceanic
Sat 15:29:02	-2.2333	-158.9000	↙ 223°	489	563	10,973	 Level	 Oakland Oceanic
Sat 15:38:39	-3.1833	-159.8000	↙ 224°	483	556	10,973	 Level	 Oakland Oceanic
Sat 15:48:37	-4.1167	-160.6667	↙ 224°	477	549	10,973	 Level	 Oakland Oceanic
Sat 15:49:43	-4.2147	-160.7615	↙ 224°				 Level	 FlightAware Approximate
Sat 15:57:03	-4.8675	-161.3918	↙ 224°				 Level	 FlightAware Approximate
Sat 15:58:27	-4.9922	-161.5124	↙ 224°				 Level	 FlightAware Approximate
Sat 16:00:02	-5.1342	-161.6478	↙ 223°				 Level	 FlightAware Approximate
Sat 16:01:28	-5.2627	-161.7704	↙ 223°				 Level	 FlightAware Approximate
Sat 16:02:56	-5.3942	-161.8953	↙ 223°				 Level	 FlightAware Approximate
Sat 16:04:21	-5.5212	-162.0161	↙ 224°				 Level	 FlightAware Approximate
Sat 16:05:51	-5.6556	-162.1443	↙ 224°				 Level	 FlightAware Approximate
Sat 16:07:11	-5.7751	-162.2581	↙ 224°				 Level	 FlightAware Approximate
Sat 16:08:44	-5.9139	-162.3907	↙ 224°				 Level	 FlightAware Approximate
Sat 16:10:08	-6.0392	-162.5109	↙ 224°				 Level	 FlightAware Approximate
Sat 16:11:34	-6.1676	-162.6338	↙ 224°				 Level	 FlightAware Approximate
Sat 16:12:58	-6.2929	-162.7540	↙ 224°				 Level	 FlightAware Approximate
Sat 16:14:23	-6.4197	-162.8755	↙ 224°				 Level	 FlightAware Approximate
Sat 16:15:52	-6.5524	-163.0033	↙ 224°				 Level	 FlightAware Approximate
Sat 16:17:15	-6.6761	-163.1218	↙ 224°				 Level	 FlightAware Approximate
Sat 16:18:45	-6.8103	-163.2508	↙ 224°				 Level	 FlightAware Approximate
Sat 16:20:11	-6.9385	-163.3742	↙ 224°				 Level	 FlightAware Approximate
Sat 16:21:38	-7.0681	-163.4987	↙ 224°				 Level	 FlightAware Approximate
Sat 16:22:58	-7.1873	-163.6137	↙ 224°				 Level	 FlightAware Approximate
Sat 16:24:29	-7.3228	-163.7445	↙ 224°				 Level	 FlightAware Approximate
Sat 16:25:56	-7.4524	-163.8698	↙ 224°				 Level	 FlightAware Approximate
Sat 16:27:18	-7.5745	-163.9877	↙ 224°				 Level	 FlightAware Approximate
Sat 16:28:43	-7.7010	-164.1101	↙ 224°				 Level	 FlightAware Approximate
Sat 16:30:04	-7.8216	-164.2264	↙ 224°				 Level	 FlightAware Approximate
Sat 16:31:38	-7.9614	-164.3612	↙ 224°				 Level	 FlightAware Approximate
Sat 16:33:05	-8.0908	-164.4863	↙ 224°				 Level	 FlightAware Approximate
Sat 16:34:28	-8.2141	-164.6056	↙ 224°				 Level	 FlightAware Approximate
Sat 16:35:53	-8.3405	-164.7285	↙ 224°				 Level	 FlightAware Approximate
Sat 16:37:23	-8.4743	-164.8587	↙ 224°				 Level	 FlightAware Approximate
Sat 16:38:27	-8.9771	-165.3700	↙ 224°			10,973	 Level	 FlightAware ADS-B
Sat 16:38:49	-8.6023	-164.9829	↙ 224°				 Level	 FlightAware Approximate
Sat 16:40:13	-8.7263	-165.1034	↙ 224°				 Level	 FlightAware Approximate
Sat 16:40:39	-9.1860	-165.5739	↙ 224°	482	555	10,973	 Level	 FlightAware ADS-B
Sat 16:41:19	-9.2529	-165.6391	↙ 224°	482	555	10,965	 Level	 FlightAware ADS-B
Sat 16:41:55	-9.3077	-165.6926	↙ 224°	482	555	10,973	6 Climbing	 FlightAware ADS-B
Sat 16:42:35	-9.3738	-165.7572	↙ 224°	482	555	10,973	 Level	 FlightAware ADS-B
Sat 16:43:05	-9.4218	-165.8043	↙ 224°	482	555	10,973	-8 Descending	 FlightAware ADS-B
Sat 16:43:35	-9.4698	-165.8512	↙ 224°	481	554	10,965	-8 Descending	 FlightAware ADS-B
Sat 16:44:05	-9.5174	-165.8977	↙ 224°	481	554	10,965	8 Climbing	 FlightAware ADS-B
Sat 16:44:35	-9.5669	-165.9462	↙ 224°	482	555	10,973	 Level	 FlightAware ADS-B
Sat 16:45:05	-9.6148	-165.9930	↙ 224°	482	555	10,965	 Level	 FlightAware ADS-B
Sat 16:45:35	-9.6630	-166.0401	↙ 224°	482	555	10,973	 Level	 FlightAware ADS-B
Sat 16:46:05	-9.7113	-166.0876	↙ 224°	482	555	10,965	-8 Descending	 FlightAware ADS-B
Sat 16:46:36	-9.7597	-166.1351	↙ 224°	481	554	10,965	 Level	 FlightAware ADS-B
Sat 16:47:06	-9.8064	-166.1809	↙ 224°	482	555	10,965	 Level	 FlightAware ADS-B
Sat 16:47:36	-9.8566	-166.2301	↙ 224°	484	557	10,965	 Level	 FlightAware ADS-B
Sat 16:48:36	-9.9523	-166.3241	↙ 224°	484	557	10,965	4 Climbing	 FlightAware ADS-B
Sat 16:49:35	-10.0483	-166.4184	↙ 224°	484	557	10,973	5 Climbing	 FlightAware ADS-B
Sat 16:50:05	-10.0966	-166.4657	↙ 224°	488	562	10,973	 Level	 FlightAware ADS-B
Sat 16:50:50	-10.1695	-166.5376	↙ 224°	487	560	10,973	 Level	 FlightAware ADS-B
Sat 16:51:20	-10.2178	-166.5851	↙ 224°	484	557	10,973	 Level	 FlightAware ADS-B
Sat 16:51:50	-10.2663	-166.6329	↙ 224°	483	556	10,973	 Level	 FlightAware ADS-B
Sat 16:52:20	-10.3144	-166.6805	↙ 224°	482	555	10,973	-8 Descending	 FlightAware ADS-B
Sat 16:52:50	-10.3628	-166.7281	↙ 224°	481	554	10,965	 Level	 FlightAware ADS-B
Sat 16:53:20	-10.4106	-166.7752	↙ 225°	479	551	10,973	6 Climbing	 FlightAware ADS-B
Sat 16:54:05	-10.4805	-166.8442	↙ 224°	479	551	10,973	 Level	 FlightAware ADS-B
Sat 16:55:41	-10.6349	-166.9967	↙ 224°	483	556	10,973	-3 Descending	 FlightAware ADS-B
Sat 16:56:21	-10.6995	-167.0604	↙ 224°	485	558	10,965	3 Climbing	 FlightAware ADS-B
Sat 17:00:00	-11.0054	-167.3969	↙ 224°				 Level	 FlightAware Approximate
Sat 17:01:18	-11.1218	-167.5099	↙ 224°				 Level	 FlightAware Approximate
Sat 17:02:48	-11.2560	-167.6404	↙ 224°				 Level	 FlightAware Approximate
Sat 17:04:14	-11.3842	-167.7647	↙ 224°				 Level	 FlightAware Approximate
Sat 17:05:38	-11.5094	-167.8869	↙ 224°				 Level	 FlightAware Approximate
Sat 17:06:59	-11.6301	-168.0046	↙ 224°				 Level	 FlightAware Approximate
Sat 17:08:23	-11.7552	-168.1271	↙ 224°				 Level	 FlightAware Approximate
Sat 17:09:49	-11.8832	-168.2521	↙ 224°				 Level	 FlightAware Approximate
Sat 17:11:12	-12.0067	-168.3729	↙ 224°				 Level	 FlightAware Approximate
Sat 17:12:38	-12.1346	-168.4983	↙ 224°				 Level	 FlightAware Approximate
Sat 17:13:56	-12.2505	-168.6118	↙ 224°				 Level	 FlightAware Approximate
Sat 17:15:26	-12.3842	-168.7434	↙ 224°				 Level	 FlightAware Approximate
Sat 17:16:48	-12.5060	-168.8629	↙ 224°				 Level	 FlightAware Approximate
Sat 17:18:09	-12.6261	-168.9815	↙ 224°				 Level	 FlightAware Approximate
Sat 17:19:34	-12.7523	-169.1064	↙ 224°				 Level	 FlightAware Approximate
Sat 17:20:59	-12.8783	-169.2307	↙ 224°				 Level	 FlightAware Approximate
Sat 17:22:24	-13.0044	-169.3557	↙ 224°				 Level	 FlightAware Approximate
Sat 17:23:42	-13.1201	-169.4704	↙ 224°				 Level	 FlightAware Approximate
Sat 17:25:06	-13.2430	-169.5947	↙ 225°				 Level	 FlightAware Approximate
Sat 17:26:34	-13.3717	-169.7262	↙ 225°				 Level	 FlightAware Approximate
Sat 17:27:57	-13.4930	-169.8499	↙ 225°				 Level	 FlightAware Approximate
Sat 17:29:22	-13.6172	-169.9770	↙ 225°				 Level	 FlightAware Approximate
Sat 17:30:49	-13.7442	-170.1071	↙ 225°				 Level	 FlightAware Approximate
Sat 17:32:13	-13.8668	-170.2328	↙ 225°				 Level	 FlightAware Approximate
Sat 17:33:36	-13.9879	-170.3574	↙ 225°				 Level	 FlightAware Approximate
Sat 17:35:00	-14.1103	-170.4831	↙ 225°				 Level	 FlightAware Approximate
Sat 17:36:20	-14.2268	-170.6033	↙ 225°				 Level	 FlightAware Approximate
Sat 17:37:47	-14.3513	-170.7362	↙ 230°				 Level	 FlightAware Approximate
Sat 17:39:06	-14.4558	-170.8648	↙ 230°				 Level	 FlightAware Approximate
Sat 17:40:27	-14.5629	-170.9972	↙ 230°				 Level	 FlightAware Approximate
Sat 17:41:57	-14.6818	-171.1440	↙ 230°				 Level	 FlightAware Approximate
Sat 17:43:22	-14.7940	-171.2830	↙ 230°				 Level	 FlightAware Approximate
Sat 17:44:35	-14.8903	-171.4025	↙ 230°				 Level	 FlightAware Approximate
Sat 17:46:02	-15.0050	-171.5455	↙ 230°				 Level	 FlightAware Approximate
Sat 17:47:30	-15.1209	-171.6903	↙ 230°				 Level	 FlightAware Approximate
Sat 17:48:48	-15.2236	-171.8180	↙ 230°				 Level	 FlightAware Approximate
Sat 17:50:16	-15.3393	-171.9626	↙ 230°				 Level	 FlightAware Approximate
Sat 17:51:39	-15.4484	-172.0995	↙ 230°				 Level	 FlightAware Approximate
Sat 17:53:03	-15.5588	-172.2383	↙ 230°				 Level	 FlightAware Approximate
Sat 17:54:27	-15.6691	-172.3765	↙ 230°				 Level	 FlightAware Approximate
Sat 17:55:50	-15.7778	-172.5131	↙ 230°				 Level	 FlightAware Approximate
Sat 17:57:14	-15.8878	-172.6519	↙ 231°				 Level	 FlightAware Approximate
Sat 17:58:37	-15.9968	-172.7883	↙ 230°				 Level	 FlightAware Approximate
Sat 17:59:57	-16.1022	-172.9198	↙ 230°				 Level	 FlightAware Approximate
Sat 18:01:22	-16.2141	-173.0602	↙ 230°				 Level	 FlightAware Approximate
Sat 18:02:43	-16.3207	-173.1937	↙ 230°				 Level	 FlightAware Approximate
Sat 18:04:07	-16.4311	-173.3328	↙ 230°				 Level	 FlightAware Approximate
Sat 18:05:30	-16.5401	-173.4703	↙ 230°				 Level	 FlightAware Approximate
Sat 18:06:55	-16.6517	-173.6108	↙ 230°				 Level	 FlightAware Approximate
Sat 18:08:23	-16.7671	-173.7570	↙ 230°				 Level	 FlightAware Approximate
Sat 18:09:47	-16.8772	-173.8965	↙ 230°				 Level	 FlightAware Approximate
Sat 18:11:07	-16.9819	-174.0290	↙ 231°				 Level	 FlightAware Approximate
Sat 18:12:28	-17.0878	-174.1638	↙ 231°				 Level	 FlightAware Approximate
Sat 18:13:56	-17.2028	-174.3107	↙ 231°				 Level	 FlightAware Approximate
Sat 18:15:20	-17.3125	-174.4511	↙ 231°				 Level	 FlightAware Approximate
Sat 18:16:39	-17.4156	-174.5830	↙ 231°				 Level	 FlightAware Approximate
