,age,salary,add_comp,overall_exp,job_exp,education,gender
176,35-44,57528.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
177,25-34,97749.99999999999,11500.0,8 - 10 years,8 - 10 years,College degree,Woman
178,25-34,62040.0,0.0,2 - 4 years,2 - 4 years,College degree,Woman
179,35-44,65800.0,0.0,8 - 10 years,5-7 years,College degree,Woman
180,25-34,48880.0,0.0,5-7 years,5-7 years,College degree,Woman
181,45-54,70970.0,4700.0,21 - 30 years,11 - 20 years,Some college,Woman
182,25-34,53580.0,0.0,8 - 10 years,2 - 4 years,Master's degree,Woman
183,25-34,78208.0,0.0,8 - 10 years,8 - 10 years,Master's degree,Woman
184,18-24,72850.0,0.0,2 - 4 years,2 - 4 years,College degree,Woman
185,35-44,29328.0,0.0,11 - 20 years,1 year or less,College degree,Woman
186,25-34,35650.0,1150.0,2 - 4 years,1 year or less,Master's degree,Woman
187,35-44,202100.0,9400.0,11 - 20 years,11 - 20 years,College degree,Woman
188,25-34,51700.0,2350.0,8 - 10 years,5-7 years,College degree,Man
189,45-54,206800.0,0.0,11 - 20 years,11 - 20 years,PhD,Woman
190,25-34,94000.0,0.0,8 - 10 years,8 - 10 years,College degree,Woman
191,25-34,75200.0,0.0,5-7 years,2 - 4 years,Master's degree,Woman
193,25-34,49350.0,0.0,5-7 years,5-7 years,Master's degree,Woman
194,25-34,36000.0,0.0,2 - 4 years,2 - 4 years,Master's degree,Woman
195,25-34,88360.0,0.0,2 - 4 years,2 - 4 years,College degree,Woman
196,25-34,53580.0,0.0,5-7 years,5-7 years,College degree,Woman
197,35-44,78020.0,7520.0,8 - 10 years,5-7 years,College degree,Woman
198,35-44,84600.0,0.0,11 - 20 years,11 - 20 years,College degree,Woman
199,35-44,62933.0,0.0,8 - 10 years,5-7 years,College degree,Woman
200,25-34,71440.0,0.0,2 - 4 years,2 - 4 years,College degree,Woman
201,25-34,59799.99999999999,6899.999999999999,8 - 10 years,8 - 10 years,Master's degree,Woman
202,25-34,65800.0,4700.0,8 - 10 years,5-7 years,Master's degree,Woman
203,25-34,56400.0,2350.0,2 - 4 years,2 - 4 years,PhD,Non-binary
204,35-44,75200.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
205,35-44,65800.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
206,25-34,32241.059999999998,0.0,8 - 10 years,2 - 4 years,Master's degree,Woman
207,25-34,103499.99999999999,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
208,35-44,47000.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
209,35-44,79900.0,0.0,11 - 20 years,5-7 years,College degree,Woman
210,35-44,81780.0,14100.0,8 - 10 years,2 - 4 years,High School,Woman
211,35-44,117500.0,0.0,11 - 20 years,2 - 4 years,Master's degree,Woman
212,35-44,51700.0,4700.0,11 - 20 years,5-7 years,Some college,Woman
213,55-64,258499.99999999997,0.0,31 - 40 years,31 - 40 years,Master's degree,Woman
214,25-34,45590.0,0.0,5-7 years,2 - 4 years,College degree,Woman
215,35-44,130659.99999999999,8460.0,11 - 20 years,11 - 20 years,College degree,Woman
216,25-34,50835.2,470.0,11 - 20 years,11 - 20 years,College degree,Woman
217,35-44,159800.0,28200.0,11 - 20 years,8 - 10 years,Master's degree,Woman
218,25-34,41400.0,0.0,8 - 10 years,8 - 10 years,College degree,Woman
219,45-54,65800.0,940.0,21 - 30 years,11 - 20 years,Master's degree,Man
220,25-34,49820.0,0.0,5-7 years,2 - 4 years,College degree,Woman
221,35-44,77230.4,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
222,25-34,66740.0,0.0,11 - 20 years,2 - 4 years,College degree,Woman
223,18-24,24158.0,0.0,5-7 years,5-7 years,College degree,Woman
224,25-34,98700.0,0.0,8 - 10 years,8 - 10 years,College degree,Woman
225,35-44,72380.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
226,35-44,47000.0,0.0,11 - 20 years,5-7 years,Master's degree,Woman
227,25-34,28999.55,0.0,5-7 years,5-7 years,College degree,Woman
228,25-34,29719.039999999997,0.0,5-7 years,2 - 4 years,College degree,Non-binary
229,35-44,89300.0,1880.0,11 - 20 years,8 - 10 years,Master's degree,Woman
230,18-24,58280.0,0.0,1 year or less,1 year or less,College degree,Woman
231,35-44,70500.0,7050.0,11 - 20 years,8 - 10 years,College degree,Woman
232,25-34,66740.0,0.0,5-7 years,5-7 years,College degree,Non-binary
233,45-54,82720.0,0.0,21 - 30 years,11 - 20 years,Master's degree,Woman
234,25-34,29610.0,0.0,8 - 10 years,2 - 4 years,College degree,Woman
235,25-34,71440.0,0.0,5-7 years,2 - 4 years,Master's degree,Woman
236,35-44,155100.0,28200.0,21 - 30 years,21 - 30 years,College degree,Non-binary
237,25-34,43014.399999999994,0.0,11 - 20 years,2 - 4 years,Some college,Woman
238,25-34,80840.0,0.0,5-7 years,5-7 years,College degree,Woman
239,25-34,53985.6,0.0,5-7 years,5-7 years,Master's degree,Woman
240,25-34,52640.0,0.0,8 - 10 years,5-7 years,Master's degree,Woman
242,25-34,62980.0,1880.0,8 - 10 years,2 - 4 years,College degree,Woman
243,25-34,117500.0,0.0,5-7 years,5-7 years,Master's degree,Woman
244,25-34,51700.0,0.0,5-7 years,2 - 4 years,College degree,Woman
245,35-44,117500.0,47000.0,11 - 20 years,11 - 20 years,College degree,Woman
246,25-34,56400.0,0.0,8 - 10 years,2 - 4 years,College degree,Woman
247,25-34,178600.0,0.0,1 year or less,1 year or less,Master's degree,Woman
248,45-54,56700.799999999996,0.0,21 - 30 years,8 - 10 years,Some college,Woman
249,35-44,117500.0,17625.0,5-7 years,2 - 4 years,PhD,Woman
250,45-54,88360.0,0.0,21 - 30 years,21 - 30 years,PhD,Woman
251,25-34,67620.0,0.0,8 - 10 years,2 - 4 years,Master's degree,Woman
252,35-44,46060.0,0.0,11 - 20 years,11 - 20 years,Some college,Woman
253,35-44,112800.0,0.0,11 - 20 years,11 - 20 years,College degree,Woman
254,25-34,26320.0,0.0,2 - 4 years,2 - 4 years,Master's degree,Non-binary
255,55-64,126900.0,0.0,31 - 40 years,31 - 40 years,College degree,Woman
256,35-44,38140.5,0.0,8 - 10 years,8 - 10 years,College degree,Woman
257,25-34,70970.0,0.0,8 - 10 years,8 - 10 years,Master's degree,Woman
258,25-34,108100.0,11280.0,5-7 years,5-7 years,College degree,Woman
259,35-44,65800.0,0.0,8 - 10 years,5-7 years,Master's degree,Woman
260,25-34,103400.0,1316.0,5-7 years,5-7 years,College degree,Woman
261,18-24,27260.0,0.0,1 year or less,1 year or less,Some college,Woman
262,55-64,57340.0,0.0,31 - 40 years,31 - 40 years,College degree,Woman
263,55-64,44415.0,0.0,11 - 20 years,5-7 years,Master's degree,Woman
264,35-44,90240.0,3760.0,11 - 20 years,11 - 20 years,Some college,Man
265,35-44,260000.0,0.0,21 - 30 years,11 - 20 years,High School,Non-binary
266,35-44,42300.0,0.0,11 - 20 years,11 - 20 years,College degree,Woman
267,25-34,67680.0,0.0,2 - 4 years,2 - 4 years,Master's degree,Woman
268,25-34,73476.98,0.0,5-7 years,5-7 years,Master's degree,Woman
269,25-34,124550.0,51700.0,8 - 10 years,8 - 10 years,College degree,Woman
270,45-54,116560.0,0.0,21 - 30 years,21 - 30 years,Master's degree,Woman
271,45-54,101520.0,0.0,21 - 30 years,21 - 30 years,College degree,Man
272,35-44,103400.0,4700.0,11 - 20 years,11 - 20 years,Master's degree,Woman
273,35-44,78020.0,0.0,11 - 20 years,5-7 years,Master's degree,Woman
274,25-34,103400.0,13160.0,8 - 10 years,8 - 10 years,Master's degree,Woman
275,25-34,42300.0,0.0,5-7 years,5-7 years,Master's degree,Woman
276,25-34,85540.0,1880.0,11 - 20 years,5-7 years,PhD,Woman
277,35-44,109980.0,16497.0,11 - 20 years,11 - 20 years,Master's degree,Woman
278,45-54,55460.0,6580.0,21 - 30 years,21 - 30 years,Some college,Woman
279,35-44,67395.18,0.0,8 - 10 years,5-7 years,Master's degree,Woman
280,45-54,84600.0,8460.0,31 - 40 years,21 - 30 years,Some college,Woman
281,35-44,112800.0,0.0,11 - 20 years,11 - 20 years,College degree,Woman
282,25-34,48880.0,0.0,5-7 years,5-7 years,Master's degree,Non-binary
283,25-34,42435.0,0.0,8 - 10 years,8 - 10 years,Some college,Woman
284,35-44,75200.0,4700.0,21 - 30 years,21 - 30 years,High School,Woman
285,25-34,52640.0,0.0,8 - 10 years,5-7 years,Some college,Woman
286,45-54,44969.6,1880.0,21 - 30 years,21 - 30 years,College degree,Man
287,45-54,141000.0,18800.0,21 - 30 years,11 - 20 years,Master's degree,Woman
288,45-54,141000.0,0.0,21 - 30 years,21 - 30 years,Master's degree,Woman
289,45-54,98700.0,4700.0,21 - 30 years,21 - 30 years,PhD,Woman
290,25-34,94000.0,4700.0,2 - 4 years,2 - 4 years,College degree,Woman
291,35-44,91650.0,7520.0,11 - 20 years,11 - 20 years,Master's degree,Woman
292,25-34,94000.0,47000.0,5-7 years,5-7 years,College degree,Man
293,45-54,117500.0,0.0,21 - 30 years,8 - 10 years,College degree,Woman
294,35-44,59220.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
295,25-34,57499.99999999999,57499.99999999999,8 - 10 years,5-7 years,College degree,Woman
296,35-44,74260.0,940.0,11 - 20 years,11 - 20 years,Master's degree,Woman
297,25-34,48880.0,0.0,5-7 years,2 - 4 years,Master's degree,Man
298,25-34,102460.0,2820.0,5-7 years,5-7 years,Master's degree,Woman
299,45-54,62099.99999999999,0.0,21 - 30 years,21 - 30 years,PhD,Woman
300,45-54,112800.0,0.0,21 - 30 years,21 - 30 years,Master's degree,Woman
301,25-34,46704.95,0.0,8 - 10 years,5-7 years,College degree,Woman
302,35-44,65800.0,2256.0,11 - 20 years,5-7 years,Master's degree,Woman
303,35-44,103400.0,2350.0,11 - 20 years,11 - 20 years,College degree,Woman
304,25-34,40020.0,0.0,5-7 years,2 - 4 years,College degree,Woman
305,25-34,40020.0,0.0,8 - 10 years,5-7 years,Some college,Woman
306,18-24,42300.0,0.0,1 year or less,1 year or less,College degree,Woman
307,35-44,65800.0,4700.0,8 - 10 years,8 - 10 years,Master's degree,Woman
308,25-34,108100.0,0.0,5-7 years,5-7 years,College degree,Man
309,25-34,32640.0,0.0,2 - 4 years,2 - 4 years,Master's degree,Woman
310,35-44,15980.0,0.0,11 - 20 years,5-7 years,Master's degree,Non-binary
311,25-34,60160.0,0.0,5-7 years,1 year or less,College degree,Woman
312,55-64,62040.0,0.0,31 - 40 years,21 - 30 years,College degree,Woman
313,45-54,75200.0,3760.0,21 - 30 years,11 - 20 years,College degree,Woman
314,25-34,73320.0,0.0,5-7 years,2 - 4 years,Master's degree,Woman
315,18-24,61100.0,4700.0,2 - 4 years,2 - 4 years,Master's degree,Woman
316,65 or over,103400.0,9400.0,41 years or more,31 - 40 years,Master's degree,Woman
317,35-44,107536.0,0.0,21 - 30 years,11 - 20 years,College degree,Woman
318,25-34,104810.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
319,25-34,54802.0,0.0,5-7 years,2 - 4 years,College degree,Woman
320,25-34,658000.0,0.0,11 - 20 years,5-7 years,College degree,Woman
321,35-44,146640.0,177660.0,21 - 30 years,21 - 30 years,Master's degree,Other or prefer not to answer
322,45-54,122200.0,12220.0,11 - 20 years,8 - 10 years,College degree,Woman
323,25-34,70500.0,0.0,8 - 10 years,8 - 10 years,Master's degree,Woman
324,25-34,44850.0,0.0,11 - 20 years,8 - 10 years,Master's degree,Woman
325,35-44,118440.0,14100.0,11 - 20 years,11 - 20 years,College degree,Woman
326,45-54,117500.0,3290.0,21 - 30 years,21 - 30 years,College degree,Man
327,25-34,60029.99999999999,0.0,2 - 4 years,2 - 4 years,PhD,Woman
328,35-44,36171.2,0.0,11 - 20 years,5-7 years,College degree,Woman
329,35-44,33840.0,940.0,11 - 20 years,2 - 4 years,Master's degree,Man
330,25-34,51700.0,0.0,8 - 10 years,2 - 4 years,Master's degree,Woman
331,25-34,50290.0,0.0,8 - 10 years,8 - 10 years,College degree,Woman
332,25-34,46624.0,0.0,8 - 10 years,2 - 4 years,Master's degree,Woman
333,25-34,47000.0,0.0,8 - 10 years,5-7 years,College degree,Woman
334,25-34,54285.0,5405.0,11 - 20 years,2 - 4 years,Master's degree,Woman
335,35-44,58280.0,0.0,11 - 20 years,8 - 10 years,Master's degree,Woman
336,25-34,61100.0,0.0,8 - 10 years,5-7 years,College degree,Woman
337,25-34,41059.2,0.0,5-7 years,2 - 4 years,College degree,Woman
338,25-34,96820.0,1880.0,5-7 years,5-7 years,College degree,Woman
339,45-54,58649.99999999999,0.0,21 - 30 years,21 - 30 years,College degree,Woman
340,25-34,61100.0,2538.0,8 - 10 years,5-7 years,College degree,Woman
341,25-34,28749.999999999996,1150.0,2 - 4 years,2 - 4 years,Master's degree,Woman
342,25-34,64169.99999999999,0.0,8 - 10 years,8 - 10 years,College degree,Woman
343,35-44,70500.0,0.0,21 - 30 years,11 - 20 years,Master's degree,Woman
344,35-44,39675.0,0.0,11 - 20 years,11 - 20 years,College degree,Woman
345,18-24,68150.0,2820.0,5-7 years,1 year or less,College degree,Woman
346,35-44,80840.0,1410.0,11 - 20 years,5-7 years,College degree,Woman
347,25-34,70500.0,4700.0,11 - 20 years,11 - 20 years,College degree,Woman
348,25-34,35720.0,0.0,8 - 10 years,8 - 10 years,College degree,Woman
349,25-34,59220.0,0.0,8 - 10 years,5-7 years,Master's degree,Woman
350,35-44,36660.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
351,35-44,98700.0,0.0,11 - 20 years,11 - 20 years,College degree,Woman
352,45-54,49820.0,5640.0,21 - 30 years,8 - 10 years,High School,Woman
353,35-44,168260.0,122200.0,11 - 20 years,8 - 10 years,PhD,Woman
354,35-44,72380.0,0.0,21 - 30 years,5-7 years,College degree,Woman
355,35-44,51700.0,0.0,11 - 20 years,11 - 20 years,College degree,Woman
356,25-34,60348.0,2820.0,5-7 years,2 - 4 years,Master's degree,Other or prefer not to answer
357,55-64,40890.0,0.0,21 - 30 years,11 - 20 years,College degree,Woman
358,25-34,86480.0,1880.0,5-7 years,5-7 years,College degree,Woman
